Ironclad CMDB API Audit Report
==============================
URL: https://my.api.mockaroo.com/ironclad/cmdb.json?key=cf7bbbd0
Status: 200
Total assets: 300

Assets by Environment:
- staging: 108
- prod: 101
- dev: 91

Assets by Risk Level:
- HIGH: 54
- MEDIUM: 133
- LOW: 113

Internet-Exposed Assets:
- db-3 | owner=HR | crit=low | env=staging
- compute-4 | owner=Finance | last_seen=5/17/2025 | days_ago=246 | env=prod
- compute-5 | owner=Finance | last_seen=12/7/2025 | days_ago=42 | env=prod
- hr-22 | owner=Executive Administration | last_seen=11/7/2025 | days_ago=72 | env=staging
- db-10 | owner=HR | last_seen=4/29/2025 | days_ago=264 | env=prod
- db-39 | owner=IT | last_seen=11/4/2025 | days_ago=75 | env=staging
- eng-11 | owner=IT | last_seen=2/11/2025 | days_ago=341 | env=prod
- compute-36 | owner=Engineering | last_seen=1/18/2025 | days_ago=365 | env=staging
- db-43 | owner=HR | last_seen=8/14/2025 | days_ago=157 | env=dev
- eng-6 | owner=Engineering | last_seen=8/2/2025 | days_ago=169 | env=dev
- finance-14 | owner=HR | last_seen=5/22/2025 | days_ago=241 | env=staging
- finance-6 | owner=IT | last_seen=6/18/2025 | days_ago=214 | env=dev
- eng-22 | owner=Engineering | last_seen=3/19/2025 | days_ago=305 | env=dev
- eng-8 | owner=Engineering | last_seen=9/24/2025 | days_ago=116 | env=staging
- compute-14 | owner=Engineering | last_seen=4/8/2025 | days_ago=285 | env=prod
- hr-33 | owner=Engineering | last_seen=2/2/2025 | days_ago=350 | env=prod
- db-15 | owner=Finance | last_seen=10/31/2025 | days_ago=79 | env=staging
- web-31 | owner=Engineering | last_seen=5/20/2025 | days_ago=243 | env=dev
- db-35 | owner=HR | last_seen=9/9/2025 | days_ago=131 | env=dev
- finance-10 | owner=HR | last_seen=2/7/2025 | days_ago=345 | env=staging
- finance-20 | owner=Engineering | last_seen=9/8/2025 | days_ago=132 | env=prod
- compute-49 | owner=Executive Administration | last_seen=5/21/2025 | days_ago=242 | env=staging
- finance-45 | owner=HR | last_seen=4/7/2025 | days_ago=286 | env=dev
- eng-8 | owner=Security | last_seen=7/28/2025 | days_ago=174 | env=dev
- eng-49 | owner=Finance | last_seen=3/19/2025 | days_ago=305 | env=dev
- db-47 | owner=Security | last_seen=9/10/2025 | days_ago=130 | env=prod
- finance-48 | owner=Engineering | last_seen=2/12/2025 | days_ago=340 | env=prod
- web-42 | owner=HR | last_seen=4/3/2025 | days_ago=290 | env=dev
- eng-19 | owner=Executive Administration | last_seen=12/3/2025 | days_ago=46 | env=dev
- hr-27 | owner=IT | last_seen=5/1/2025 | days_ago=262 | env=dev
- db-29 | owner=Security | last_seen=3/23/2025 | days_ago=301 | env=staging
- hr-28 | owner=Finance | last_seen=2/18/2025 | days_ago=334 | env=prod
- compute-24 | owner=Executive Administration | last_seen=5/5/2025 | days_ago=258 | env=staging
- db-29 | owner=HR | last_seen=10/6/2025 | days_ago=104 | env=dev
- web-33 | owner=IT | last_seen=4/11/2025 | days_ago=282 | env=dev
- finance-37 | owner=Engineering | last_seen=1/6/2025 | days_ago=377 | env=dev
- db-4 | owner=Security | last_seen=12/15/2025 | days_ago=34 | env=dev
- eng-42 | owner=Security | last_seen=5/16/2025 | days_ago=247 | env=staging
- compute-29 | owner=IT | last_seen=2/27/2025 | days_ago=325 | env=dev
- web-32 | owner=Finance | last_seen=10/17/2025 | days_ago=93 | env=staging
- web-46 | owner=IT | last_seen=5/28/2025 | days_ago=235 | env=staging
- hr-26 | owner=Finance | last_seen=8/26/2025 | days_ago=145 | env=staging
- web-16 | owner=IT | last_seen=4/2/2025 | days_ago=291 | env=staging
- hr-27 | owner=Finance | last_seen=2/26/2025 | days_ago=326 | env=staging
- compute-21 | owner=HR | last_seen=4/19/2025 | days_ago=274 | env=prod
- eng-21 | owner=Security | last_seen=2/7/2025 | days_ago=345 | env=dev
- web-48 | owner=IT | last_seen=5/11/2025 | days_ago=252 | env=prod
- hr-49 | owner=HR | last_seen=9/6/2025 | days_ago=134 | env=dev
- eng-29 | owner=Finance | last_seen=3/13/2025 | days_ago=311 | env=prod
- db-6 | owner=Executive Administration | last_seen=5/28/2025 | days_ago=235 | env=staging
- finance-13 | owner=Finance | last_seen=11/24/2025 | days_ago=55 | env=prod
- db-30 | owner=Security | last_seen=7/24/2025 | days_ago=178 | env=staging
- finance-39 | owner=Executive Administration | last_seen=8/17/2025 | days_ago=154 | env=dev
- hr-38 | owner=Finance | last_seen=12/18/2025 | days_ago=31 | env=staging
- web-42 | owner=Security | last_seen=10/25/2025 | days_ago=85 | env=prod
- compute-24 | owner=IT | last_seen=10/30/2025 | days_ago=80 | env=dev
- web-12 | owner=IT | last_seen=12/18/2025 | days_ago=31 | env=prod
- db-42 | owner=Executive Administration | last_seen=10/4/2025 | days_ago=106 | env=dev
- eng-24 | owner=HR | last_seen=3/7/2025 | days_ago=317 | env=prod
- hr-23 | owner=Engineering | last_seen=11/10/2025 | days_ago=69 | env=prod
- web-7 | owner=Executive Administration | last_seen=6/13/2025 | days_ago=219 | env=prod
- db-19 | owner=Engineering | last_seen=8/3/2025 | days_ago=168 | env=prod
- hr-5 | owner=Security | last_seen=11/20/2025 | days_ago=59 | env=dev
- db-46 | owner=Executive Administration | last_seen=12/5/2025 | days_ago=44 | env=dev
- finance-15 | owner=Security | last_seen=7/31/2025 | days_ago=171 | env=staging
- web-48 | owner=HR | last_seen=9/2/2025 | days_ago=138 | env=staging
- hr-48 | owner=Engineering | last_seen=12/12/2025 | days_ago=37 | env=prod
- compute-16 | owner=IT | last_seen=5/6/2025 | days_ago=257 | env=dev
- compute-15 | owner=Security | last_seen=8/11/2025 | days_ago=160 | env=prod
- hr-4 | owner=Finance | last_seen=6/29/2025 | days_ago=203 | env=staging
- db-23 | owner=IT | last_seen=8/7/2025 | days_ago=164 | env=staging
- compute-7 | owner=Engineering | last_seen=12/4/2025 | days_ago=45 | env=dev
- finance-40 | owner=Executive Administration | last_seen=7/19/2025 | days_ago=183 | env=prod
- eng-6 | owner=Finance | last_seen=11/22/2025 | days_ago=57 | env=dev
- finance-4 | owner=HR | last_seen=11/22/2025 | days_ago=57 | env=prod
